item_id,cluster,pattern_type,forecast_strategy,wape_spec,wape_base,rmse_spec,rmse_base
FOODS_2_358,2,Volatile,no_adjustment,2.050092764378479,2.050092764378479,5.913923384346331,5.913923384346331
FOODS_1_102,2,Volatile,no_adjustment,1.0,1.0,2.485673234472188,2.485673234472188
FOODS_3_298,2,Volatile,no_adjustment,0.4215225563909774,0.4215225563909774,2.706992080233886,2.706992080233886
FOODS_3_686,2,Volatile,no_adjustment,1.0295566502463054,1.0295566502463054,3.2646842520075543,3.2646842520075543
FOODS_3_608,4,Burst,no_adjustment,142.5,142.5,10.181829052637982,10.181829052637982
HOUSEHOLD_2_154,2,Volatile,no_adjustment,0.3715659340659339,0.3715659340659339,1.903608281605204,1.903608281605204
FOODS_2_344,2,Volatile,no_adjustment,0.7244444444444446,0.7244444444444446,6.87089395009626,6.87089395009626
FOODS_2_173,2,Volatile,no_adjustment,0.42810760667903525,0.42810760667903525,2.8600431707887752,2.8600431707887752
HOBBIES_1_100,2,Volatile,no_adjustment,0.560646900269542,0.560646900269542,2.5162735648297914,2.5162735648297914
FOODS_2_370,4,Burst,no_adjustment,0.3580192813321647,0.3580192813321647,5.293069207241961,5.293069207241961
HOBBIES_1_086,2,Volatile,no_adjustment,0.36047372316802373,0.36047372316802373,3.1143184795130914,3.1143184795130914
HOUSEHOLD_1_341,2,Volatile,no_adjustment,0.41968911917098445,0.41968911917098445,3.4795319882338855,3.4795319882338855
HOUSEHOLD_2_438,2,Volatile,no_adjustment,0.37071428571428583,0.37071428571428583,3.2640981502849873,3.2640981502849873
HOUSEHOLD_1_295,2,Volatile,no_adjustment,0.4229024943310657,0.4229024943310657,3.461707435261816,3.461707435261816
FOODS_3_567,4,Burst,no_adjustment,0.4544334975369459,0.4544334975369459,3.857969488141213,3.857969488141213
FOODS_2_143,2,Volatile,no_adjustment,0.41578947368421043,0.41578947368421043,3.5920831316229016,3.5920831316229016
FOODS_3_775,2,Volatile,no_adjustment,0.37865748709122204,0.37865748709122204,3.1799756127931524,3.1799756127931524
